design_job_name,design_market,design_contractor,design_status,design_psa_cd,design_ecd,design_aop_clli,design_cm_project_tracking_number,design_associated_project,design_proj_num,design_no_build,design_no_build_reason,demand_id,demand_business,demand_residential,demand_provisioned,demand_fst,demand_point_lat,demand_point_lon,fst_id,fst_name,fst_build_status,fst_asset_id,dist_cluster_id,dist_cluster_type,dist_cluster_pfp_name,dist_cluster_olt_name,drop_cluster_id,drop_cluster_term_name,mdu_boundary_id,mdu_boundary_name,mdu_boundary_coil_ids,mdu_boundary_coil_notes,mdu_boundary_coil_structures,id,cbg,blockcode,ll_uuid,a_lon,a_lat,bain_use,private_access_b,commercial_b,building_b,build_cluster_b,clstrid,derived,cost_customer_location,cable_ft_hh,irr_cbg,irr_cb,f1_penetrationwithindex,lumi_archetype_cbg,lumi_archetype_cb,pct_fttp,mdu_subsid,old_build_,market,distance_to_build_sfu,att_segment,build_map_status,a_geoid,a_address,a_scity,a_county,a_state2,a_szip,a_szip5,a_carte,a_crtype,a_saddno,a_saddpref,a_saddstr,a_saddstsuf,a_saddsttyp,a_default_match,a_geocodetype,glid,gis_streetnr,gis_streetprefix,gis_streetname,gis_streettype,gis_streetsuffix,gis_postcode,gis_city,gis_stateorprovince,gis_country,gis_latitude,gis_longitude,gis_matchcode,gis_locationcode,gis_streetdirection,deleted,iqg_updated_fields,unit,sn_asset_id,no_build_reason,fiber_jack,jack_loc,inv_status,build_status,gc_classification,gis_unit_type,gis_unit_value,gis_postalcodeplus4
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119237,0,1,False,Yes,44.7448501587,-93.2651977539,188211,F 699 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147414,F 699 E 143RD ST,,,,,,13119237,270370607411,270370607411002,ae6bb486-82dc-436c-9759-5786b5d11127,-93.26519775390625,44.744850158691406,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,703 E 143rd St,Burnsville,DAKOTA,MN,55337-4610,55337,C042,C,703,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119808,0,1,,No,44.745443503979374,-93.27119710834977,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119808,270370607412,270370607412001,2f7306e1-d2b3-4869-81d9-2e52066b0688,-93.27262115478516,44.74507141113281,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,5,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,14122 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5717,55337,C042,C,14122,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119967,0,1,,No,44.744835306204806,-93.27089213581381,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119967,270370607412,270370607412001,dec47340-8961-4509-ad3b-f698f81c164b,-93.27262115478516,44.74507141113281,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,5,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,14129 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14129,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119999,0,1,False,Yes,44.7417907715,-93.2694625854,188000,F 14422 PORTLAND AVE,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147344,F 14422 PORTLAND AVE,,,,,,13119999,270370607412,270370607412002,0ffb23c7-58d6-4871-af4c-cd12060e4e2c,-93.26946258544922,44.741790771484375,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,14422 Portland Ave,Burnsville,DAKOTA,MN,55337-6762,55337,C029,C,14422,,Portland,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119244,0,1,False,Yes,44.7445602417,-93.2672119141,188005,F 640 PORTLAND PL,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147368,F 640 PORTLAND PL,,,,,,13119244,270370607411,270370607411002,b579e151-b3da-4231-9282-7d9cfcff6a03,-93.2672119140625,44.74456024169922,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,637 Portland Pl,Burnsville,DAKOTA,MN,55337-4639,55337,C029,C,637,,Portland,,Pl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119826,0,1,,No,44.74496103843242,-93.27103898675733,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119826,270370607412,270370607412001,4a0d3f62-92e7-4577-be7b-01e5ad38e145,-93.27262115478516,44.74507141113281,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,5,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,14125 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14125,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120833,0,1,False,Yes,44.7456893921,-93.265411377,188191,F 676 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147402,F 676 E 143RD ST,,,,,,13120833,270370607413,270370607413005,35b4ec12-ebaa-4432-8fd9-567bebf9f796,-93.26541137695312,44.745689392089844,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,676 E 143rd St,Burnsville,DAKOTA,MN,55337-4609,55337,C042,C,676,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120027,0,1,False,Yes,44.7410812378,-93.2710876465,187978,F 407 WOOD WAY,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147352,F 407 WOOD WAY,,,,,,13120027,270370607412,270370607412002,6856fe2c-71d5-45a9-9b65-5f6e57b2a8ad,-93.27108764648438,44.74108123779297,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,409 Wood Way,Burnsville,DAKOTA,MN,55337-5733,55337,C029,C,409,,Wood,,Way,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119136,0,1,False,Yes,44.7446289062,-93.2668228149,188005,F 640 PORTLAND PL,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147368,F 640 PORTLAND PL,,,,,,13119136,270370607411,270370607411002,0ef041a2-fe5b-4be3-ada4-4ff1f04df187,-93.2668228149414,44.74462890625,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,645 Portland Pl,Burnsville,DAKOTA,MN,55337-4639,55337,C029,C,645,,Portland,,Pl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120962,0,1,False,Yes,44.7451095581,-93.2637863159,188216,F 14219 143RD CT E,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147428,F 14219 143RD CT E,,,,,,13120962,270370607413,270370607413005,beeb5ebf-b9fa-4b47-b090-ce17daa04746,-93.26378631591797,44.74510955810547,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,708 E 143rd St,Burnsville,DAKOTA,MN,55337-4611,55337,C042,C,708,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119287,0,1,False,Yes,44.7438316345,-93.2671737671,187993,F 642 PORTLAND MEWS,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147356,F 642 PORTLAND MEWS,,,,,,13119287,270370607411,270370607411002,fd785b62-a92e-40d9-8049-5927c07b2e45,-93.26717376708984,44.743831634521484,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,638 Portland Mews,Burnsville,DAKOTA,MN,55337-4640,55337,C029,C,638,,Portland,,Mews,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120793,0,1,False,Yes,44.7462806702,-93.2651367188,188192,F 660 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147404,F 660 E 143RD ST,,,,,,13120793,270370607413,270370607413005,053f98d2-bd23-4ff5-bc35-f9280388f15c,-93.26513671875,44.746280670166016,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,664 E 143rd St,Burnsville,DAKOTA,MN,55337-4609,55337,C042,C,664,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120077,0,1,False,Yes,44.7452316284,-93.2692184448,188011,F 14304 PORTLAND AVE,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147370,F 14304 PORTLAND AVE,,,,,,13120077,270370607412,270370607412002,dba844b1-cf48-423d-9690-b55a8788db0c,-93.26921844482422,44.74523162841797,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,14306 Portland Ave,Burnsville,DAKOTA,MN,55337-4686,55337,C029,C,14306,,Portland,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119290,0,1,False,Yes,44.7446784973,-93.2671203613,188005,F 640 PORTLAND PL,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147368,F 640 PORTLAND PL,,,,,,13119290,270370607411,270370607411002,fe266a88-5579-4b73-ba7a-ba71fea8c1dc,-93.26712036132812,44.74467849731445,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,641 Portland Pl,Burnsville,DAKOTA,MN,55337-4639,55337,C029,C,641,,Portland,,Pl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119828,0,1,,No,44.745618151562724,-93.2716126442104,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23161,"100' LOOP PON14318PAS, 61-120 RESERVED",219587,"PON14318PAS, 61-120","100' LOOP PON14318PAS, 61-120 RESERVED",13119828,270370607412,270370607412001,4b71f4eb-5382-4b20-9b05-5db4188d3a61,-93.27262115478516,44.74507141113281,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,5,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,14144 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5717,55337,C042,C,14144,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,IQGEO_56590,1,0,False,No,44.74354320597891,-93.27359712127227,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23156,"100' LOOP PON14318PAS, 1-24 RESERVED",219589,"BCL ONLY  PON14318PAS, 1-24","100' LOOP PON14318PAS, 1-24 RESERVED",IQGEO_56590,,,,,,,,,,,,,,,,,,,,,,,,,,,,14282 PLYMOUTH AVE,Burnsville,DAKOTA,MN,55337-5785,55337,,,,,,,,,,,,,,,,,,,,,,,,,,a_scity,,,,,,,Planned,BCL,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119219,0,1,False,Yes,44.7451705933,-93.2667236328,188186,F 629 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147396,F 629 E 143RD ST,,,,,,13119219,270370607411,270370607411002,9416f4be-8e01-4ceb-b3ab-62e9c68cd013,-93.2667236328125,44.74517059326172,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,631 E 143rd St,Burnsville,DAKOTA,MN,55337-4608,55337,C042,C,631,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119138,0,1,False,Yes,44.7451515198,-93.266166687,188188,F 635 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147407,F 635 E 143RD ST,,,,,,13119138,270370607411,270370607411002,10e76a4b-d5bc-4fb1-a813-e356ffb20f38,-93.26616668701172,44.74515151977539,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,637 E 143rd St,Burnsville,DAKOTA,MN,55337-4608,55337,C042,C,637,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120928,0,1,False,Yes,44.7455101013,-93.2655181885,188209,S 701 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147412,S 701 E 143RD ST,,,,,,13120928,270370607413,270370607413005,9b746c19-8d1e-4f41-b8b4-8ee247ad6cf6,-93.26551818847656,44.74551010131836,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,686 E 143rd St,Burnsville,DAKOTA,MN,55337-4609,55337,C042,C,686,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119154,0,1,False,Yes,44.7448692322,-93.2667999268,188005,F 640 PORTLAND PL,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147368,F 640 PORTLAND PL,,,,,,13119154,270370607411,270370607411002,3367720b-2e5b-465e-85e5-b810652bb3d0,-93.26679992675781,44.744869232177734,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,644 Portland Pl,Burnsville,DAKOTA,MN,55337-4639,55337,C029,C,644,,Portland,,Pl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120845,0,1,False,Yes,44.7457008362,-93.2638092041,188221,F 14203 143RD CT E,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147434,F 14203 143RD CT E,,,,,,13120845,270370607413,270370607413005,41f46c14-3b13-4cfe-b2f9-82b57a50f095,-93.26380920410156,44.74570083618164,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,14211 E 143rd Ct,Burnsville,DAKOTA,MN,55337-4650,55337,C042,C,14211,E,143rd,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120882,0,1,False,Yes,44.7461585999,-93.2646865845,188221,F 14203 143RD CT E,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147434,F 14203 143RD CT E,,,,,,13120882,270370607413,270370607413005,69e40a12-19bb-496e-b0c3-89d4fc8eb027,-93.26468658447266,44.746158599853516,Res-SFU,0,0,0,1,,CBG Clustered,693,36,0.19216999411582947,0.0,43.0851936340332,3.885496139526367,5,0.18670900166034698,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,14204 E 143rd Ct,Burnsville,DAKOTA,MN,55337-4650,55337,C042,C,14204,E,143rd,,Ct,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119189,0,1,False,Yes,44.7442512512,-93.2675094604,188004,F 601 PORTLAND PL,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147367,F 601 PORTLAND PL,,,,,,13119189,270370607411,270370607411002,62fa99c7-67b1-4dce-97de-c1c98a9ce02d,-93.26750946044922,44.7442512512207,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,617 Portland Pl,Burnsville,DAKOTA,MN,55337-4639,55337,C029,C,617,,Portland,,Pl,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120074,0,1,False,Yes,44.7410392761,-93.2689208984,188002,F 14450 PORTLAND AVE,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147341,F 14450 PORTLAND AVE,,,,,,13120074,270370607412,270370607412002,d25a7bde-0556-4b11-b2a6-4e28143aafac,-93.2689208984375,44.74103927612305,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,14456 Portland Ave,Burnsville,DAKOTA,MN,55337-6707,55337,C029,C,14456,,Portland,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120109,0,1,False,Yes,44.7427711487,-93.2711410522,187971,F 400 UPPER WOOD WAY,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147363,F 400 UPPER WOOD WAY,,,,,,13120109,270370607412,270370607412003,93d41b1f-946c-48e0-a72f-01f382c621d4,-93.2711410522461,44.74277114868164,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,C,Final,27037,371 Upper Wood Way,Burnsville,DAKOTA,MN,55337-5731,55337,C029,C,371,,Upper Wood,,Way,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120069,0,1,False,Yes,44.7418289185,-93.2697677612,188000,F 14422 PORTLAND AVE,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147344,F 14422 PORTLAND AVE,,,,,,13120069,270370607412,270370607412002,c7925ac7-172a-43f9-bc4f-675e42849fef,-93.26976776123047,44.74182891845703,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,14424 Portland Ave,Burnsville,DAKOTA,MN,55337-6762,55337,C029,C,14424,,Portland,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119209,0,1,False,Yes,44.7441902161,-93.2652816772,188213,F 693 E 143RD ST,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147420,F 693 E 143RD ST,,,,,,13119209,270370607411,270370607411002,87acfb4a-3a45-4449-abc4-e143cfeaf1cf,-93.2652816772461,44.74419021606445,Res-SFU,0,0,0,1,,CBG Clustered,681,36,0.1697770059108734,0.0,33.842918395996094,3.8792076110839844,5,0.24264000356197357,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,B,Final,27037,687 E 143rd St,Burnsville,DAKOTA,MN,55337-4608,55337,C042,C,687,E,143rd,,St,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13119837,0,1,,No,44.74429951239654,-93.27154391260433,,,,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,,,23162,"100' LOOP PON14318PAS, 25-60 RESERVED",219588,"PON14318PAS, 25-60","100' LOOP PON14318PAS, 25-60 RESERVED",13119837,270370607412,270370607412001,5f97e5ed-5224-4929-849b-b82daaeb4916,-93.27262115478516,44.74507141113281,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,5,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,D,Final,27037,14165 Plymouth Ave,Burnsville,DAKOTA,MN,55337-5719,55337,C042,C,14165,,Plymouth,,Ave,0,PC,,,,,,,,,,,,,,,,,build_status,,,,,,,Planned,SFU,,,
PSA-4201PA-BRVLMNYF-CHARLIE,Minneapolis,ITG,LLD,4201PA,2024-10-31,BRVLMNYF,ATT-9437,,MIN001.G0000558,False,,13120044,0,1,False,Yes,44.7418899536,-93.2685928345,187999,F 14446 PORTLAND AVE,Planned,,5302,64,S 14318 PORTLAND AVE S PFP,BRVLMNYF,147343,F 14446 PORTLAND AVE,,,,,,13120044,270370607412,270370607412002,8230c632-6c59-403b-8596-97cec6085f75,-93.26859283447266,44.74188995361328,Res-SFU,0,0,0,1,,CBG Clustered,999,53,0.18058599531650543,0.0,45.72005844116211,3.7415730953216553,3,0.0,,,"Minneapolis-St. Paul-Bloomington, MN-WI",0.0,A,Final,27037,14402 Portland Ave,Burnsville,DAKOTA,MN,55337-4688,55337,C029,C,14402,,Portland,,Ave,0,PC,,,,,,,,,,,,,,,,,,,,,,,,Proposed,SFU,,,
